epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,0.618785,0.512207,0.382047,0.00010000
2,0.432216,0.527350,0.401297,0.00010000
3,0.392599,0.553776,0.432945,0.00010000
4,0.367618,0.517280,0.403566,0.00010000
5,0.335931,0.545088,0.426138,0.00010000
6,0.326262,0.575399,0.449334,0.00010000
7,0.297758,0.540268,0.425027,0.00010000
8,0.278032,0.579420,0.453293,0.00010000
9,0.256447,0.553365,0.437997,0.00010000
10,0.233604,0.524213,0.413217,0.00010000
11,0.228108,0.531057,0.425446,0.00010000
12,0.214126,0.578732,0.462237,0.00010000
13,0.199571,0.599149,0.476526,0.00010000
14,0.186780,0.565076,0.450466,0.00010000
15,0.180321,0.534481,0.430823,0.00010000
16,0.172547,0.509558,0.406063,0.00010000
17,0.164192,0.506515,0.407695,0.00010000
18,0.160178,0.534187,0.425157,0.00010000
19,0.146008,0.532521,0.430399,0.00005000
20,0.133530,0.493609,0.400964,0.00005000
21,0.127072,0.512550,0.411539,0.00005000
22,0.122068,0.491723,0.393239,0.00005000
23,0.118135,0.522657,0.421686,0.00005000
24,0.115376,0.513494,0.415312,0.00005000
25,0.112976,0.545629,0.440559,0.00002500
26,0.105117,0.505901,0.408851,0.00002500
27,0.101026,0.507784,0.409953,0.00002500
28,0.099023,0.503528,0.405513,0.00002500
29,0.098943,0.521596,0.423664,0.00002500
30,0.095735,0.531488,0.431433,0.00002500
31,0.093794,0.497926,0.402459,0.00001250
32,0.090851,0.523173,0.423543,0.00001250
33,0.088445,0.518753,0.419980,0.00001250
34,0.087090,0.506303,0.409557,0.00001250
35,0.086398,0.513299,0.415708,0.00001250
36,0.085676,0.508765,0.411315,0.00001250
37,0.084359,0.512887,0.414490,0.00000625
38,0.082513,0.523316,0.424343,0.00000625
39,0.082231,0.518425,0.420129,0.00000625
40,0.081013,0.514432,0.415983,0.00000625
41,0.080822,0.518298,0.419303,0.00000625
42,0.080110,0.516795,0.418458,0.00000625
43,0.079244,0.521036,0.421637,0.00000313
1,0.633129,0.497039,0.367852,0.00010000
2,0.427949,0.531767,0.397746,0.00010000
3,0.383831,0.532827,0.412229,0.00010000
4,0.352151,0.472862,0.369698,0.00010000
5,0.333309,0.462347,0.358092,0.00010000
6,0.310690,0.526226,0.407375,0.00010000
7,0.289700,0.539268,0.413157,0.00010000
8,0.265399,0.548738,0.428699,0.00010000
9,0.252656,0.556089,0.441331,0.00010000
10,0.233402,0.536921,0.427329,0.00010000
11,0.220375,0.523127,0.421154,0.00010000
12,0.206663,0.520470,0.410622,0.00010000
13,0.207581,0.564772,0.450194,0.00010000
14,0.182329,0.497413,0.398684,0.00010000
15,0.175683,0.523891,0.414688,0.00010000
16,0.165244,0.507539,0.407111,0.00010000
17,0.153115,0.481252,0.383658,0.00010000
18,0.153838,0.549977,0.435781,0.00010000
19,0.150367,0.506816,0.405454,0.00005000
20,0.131958,0.486941,0.386965,0.00005000
21,0.122951,0.509675,0.408159,0.00005000
22,0.120868,0.539356,0.434332,0.00005000
23,0.115732,0.507749,0.405454,0.00005000
24,0.112440,0.520378,0.417049,0.00005000
25,0.108884,0.520912,0.414279,0.00002500
26,0.102815,0.503815,0.403746,0.00002500
27,0.098914,0.475598,0.380502,0.00002500
28,0.096789,0.502575,0.402212,0.00002500
29,0.096355,0.478045,0.379847,0.00002500
30,0.093807,0.493975,0.395673,0.00002500
31,0.092139,0.508433,0.407420,0.00001250
